2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 1158d85b-55ce-49e7-927f-244d4c8d71a0, тип REGISTER, статус WAITING
2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 1158d85b-55ce-49e7-927f-244d4c8d71a0
2020-05-05 15:30:35 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 1158d85b-55ce-49e7-927f-244d4c8d71a0
2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 7385b0b1-c070-4be7-9dbe-53ce848dcd28, тип REGISTER, статус WAITING
2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 7385b0b1-c070-4be7-9dbe-53ce848dcd28
2020-05-05 15:30:35 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 7385b0b1-c070-4be7-9dbe-53ce848dcd28
2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= a016bad1-d151-4c55-af78-20d589e45775, тип REGISTER, статус WAITING
2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= a016bad1-d151-4c55-af78-20d589e45775
2020-05-05 15:30:35 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = a016bad1-d151-4c55-af78-20d589e45775
2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= b4afc6e2-a883-4960-b1a4-4b1117f88d63, тип REGISTER, статус WAITING
2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= b4afc6e2-a883-4960-b1a4-4b1117f88d63
2020-05-05 15:30:35 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = b4afc6e2-a883-4960-b1a4-4b1117f88d63
2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 37082d92-9dad-469f-bc7e-838b34c5a8a4, тип REGISTER, статус WAITING
2020-05-05 15:30:35 INFO  DownloadEventsService:97 - Получаю статусы по событию с id= 37082d92-9dad-469f-bc7e-838b34c5a8a4
2020-05-05 15:30:35 INFO  DownloadEventsService:101 - Загружено 3 записей из аудитлога по событию = 37082d92-9dad-469f-bc7e-838b34c5a8a4
2020-05-05 15:30:35 INFO  DownloadEventsService:84 - Обрабатываю событие с id= 8b15dcdc-aca7-4c05-b07e-ee9a8f129a75, тип REGISTER, статус WAITING
